Wavelength(nm)	n	k

435	1.5027	0

440	1.5017	0

445	1.5009	0

450	1.5002	0

455	1.4996	0

460	1.4991	0

465	1.4987	0

470	1.4983	0

475	1.498	0

480	1.4977	0

485	1.4974	0

490	1.4971	0

495	1.4968	0

500	1.4965	0

505	1.4962	0

510	1.496	0

515	1.4957	0

520	1.4954	0

525	1.4951	0

530	1.4948	0

535	1.4945	0

540	1.4942	0

545	1.4939	0

550	1.4936	0

555	1.4933	0

560	1.493	0

565	1.4927	0

570	1.4924	0

575	1.4921	0

580	1.4918	0

585	1.4915	0

590	1.4913	0

595	1.491	0

600	1.4907	0

605	1.4904	0

610	1.4902	0

615	1.4899	0

620	1.4896	0

625	1.4894	0

630	1.4891	0

635	1.4889	0

640	1.4887	0

645	1.4884	0

650	1.4882	0

655	1.488	0

660	1.4878	0

665	1.4876	0

670	1.4874	0

675	1.4872	0

680	1.487	0

685	1.4869	0

690	1.4867	0

695	1.4865	0

700	1.4864	0

705	1.4862	0

710	1.4861	0

715	1.486	0

720	1.4858	0

725	1.4857	0

730	1.4856	0

735	1.4855	0

740	1.4853	0

745	1.4852	0

750	1.4851	0

755	1.485	0

760	1.4849	0

765	1.4849	0

770	1.4848	0

775	1.4847	0

780	1.4846	0

785	1.4845	0

790	1.4844	0

795	1.4844	0

800	1.4843	0

805	1.4842	0

810	1.4842	0

815	1.4841	0

820	1.4841	0

825	1.484	0

830	1.4839	0

835	1.4839	0

840	1.4838	0

845	1.4838	0

850	1.4837	0

855	1.4837	0

860	1.4836	0

865	1.4836	0

870	1.4835	0

875	1.4835	0

880	1.4834	0

885	1.4834	0

890	1.4833	0

895	1.4833	0

900	1.4832	0

905	1.4832	0

910	1.4831	0

915	1.4831	0

920	1.483	0

925	1.483	0

935	1.4829	0

945	1.4828	0

955	1.4827	0

965	1.4825	0

975	1.4824	0

985	1.4823	0

995	1.4822	0

1005	1.482	0

1015	1.4819	0

1025	1.4817	0

1035	1.4816	0

1045	1.4814	0

1050	1.4813	0

