Wavelength(nm)	n	k

206.63	1.829	0.7084

215.62	1.871	0.689

225.42	1.914	0.6663

236.15	1.957	0.6383

247.96	2.001	0.6052

258.29	2.034	0.5723

269.52	2.066	0.5364

281.77	2.094	0.4948

295.19	2.119	0.4499

309.95	2.141	0.4006

326.26	2.157	0.3453

344.39	2.162	0.2872

364.65	2.16	0.2287

387.44	2.144	0.1706

413.27	2.116	0.1211

442.79	2.085	0.0837

476.85	2.053	0.0554

516.58	2.021	0.0353

563.55	1.994	0.0215

619.9	1.969	0.0118

688.78	1.948	0.0052

774.87	1.929	0.0015

885.57	1.913	0

999.84	1.87	0

2000	1.84	0

